fecha,precio_cierre,variacion_pct_diaria,promedio_movil_30d,promedio_movil_90d,volatilidad_30d,maximo_mes,minimo_mes
2025-03-27,450.0,,,,,,
2025-03-28,453.25,0.7222,,,,,
2025-03-31,457.25,0.8825,,,,,
2025-04-01,461.75,0.9841,,,,,
2025-04-02,457.75,-0.8663,,,,,
2025-04-03,457.5,-0.0546,,,,,
2025-04-04,460.25,0.6011,,,,,
2025-04-07,464.5,0.9234,,,,,
2025-04-08,469.0,0.9688,,,,,
2025-04-09,474.0,1.0661,,,,,
2025-04-10,483.0,1.8987,,,,,
2025-04-11,490.25,1.501,,,,,
2025-04-14,485.0,-1.0709,,,,,
2025-04-15,481.25,-0.7732,,,,,
2025-04-16,484.25,0.6234,,,,,
2025-04-17,482.25,-0.413,,,,,
2025-04-21,481.75,-0.1037,,,,,
2025-04-22,475.75,-1.2455,,,,,
2025-04-23,472.0,-0.7882,,,,,
2025-04-24,477.25,1.1123,,,,,
2025-04-25,478.75,0.3143,,,,,
2025-04-28,475.5,-0.6789,,,,,
2025-04-29,460.5,-3.1546,,,,,
2025-04-30,467.25,1.4658,,,,,
2025-05-01,464.25,-0.6421,,,,,
2025-05-02,461.25,-0.6462,,,,,
2025-05-05,446.5,-3.1978,,,,,
2025-05-06,447.5,0.224,,,,,
2025-05-07,441.0,-1.4525,,,,,
2025-05-08,439.0,-0.4535,466.65,,,,
2025-05-09,441.5,0.5695,466.3667,,1.2346,,
2025-05-12,440.25,-0.2831,465.9333,,1.2264,,
2025-05-13,436.0,-0.9654,465.225,,1.2223,,
2025-05-14,438.5,0.5734,464.45,,1.2114,,
2025-05-15,448.5,2.2805,464.1417,,1.2827,,
2025-05-16,443.5,-1.1148,463.675,,1.2971,,
2025-05-19,447.5,0.9019,463.25,,1.3038,,
2025-05-20,454.5,1.5642,462.9167,,1.3259,,
2025-05-21,461.0,1.4301,462.65,,1.3409,,
2025-05-22,463.0,0.4338,462.2833,,1.3277,,
2025-05-23,459.5,-0.7559,461.5,,1.2796,,
2025-05-27,459.5,0.0,460.475,,1.2412,,
2025-05-28,451.0,-1.8498,459.3417,,1.2678,,
2025-05-29,447.0,-0.8869,458.2,,1.2696,,
2025-05-30,444.0,-0.6711,456.8583,,1.2613,,
2025-06-02,438.25,-1.295,455.3917,,1.2747,,
2025-06-03,438.5,0.057,453.95,,1.2759,,
2025-06-04,438.75,0.057,452.7167,,1.2649,,
2025-06-05,439.5,0.1709,451.6333,,1.2633,,
2025-06-06,442.5,0.6826,450.475,,1.2499,,
2025-06-09,433.5,-2.0339,448.9667,,1.2867,,
2025-06-10,438.75,1.2111,447.7417,,1.3146,,
2025-06-11,437.0,-0.3989,446.9583,,1.1963,,
2025-06-12,438.5,0.3432,446.0,,1.1605,,
2025-06-13,444.5,1.3683,445.3417,,1.192,,
2025-06-16,434.75,-2.1935,444.4583,,1.2469,,
2025-06-17,431.5,-0.7476,443.9583,,1.1165,,
2025-06-18,433.5,0.4635,443.4917,,1.1198,,
2025-06-20,428.75,-1.0957,443.0833,,1.1068,,
2025-06-23,419.25,-2.2157,442.425,,1.1717,,
2025-06-24,416.25,-0.7156,441.5833,,1.1681,,
2025-06-25,410.25,-1.4414,440.5833,,1.1902,,
2025-06-26,409.5,-0.1828,439.7,,1.1821,,
2025-06-27,417.5,1.9536,439.0,,1.2388,,
2025-06-30,420.5,0.7186,438.0667,,1.1634,,
2025-07-01,420.0,-0.1189,437.2833,,1.1508,,
2025-07-02,429.25,2.2024,436.675,,1.2154,,
2025-07-03,431.5,0.5242,435.9083,,1.1797,,
2025-07-07,418.0,-3.1286,434.475,,1.258,,
2025-07-08,411.0,-1.6746,432.7417,,1.2733,,
2025-07-09,412.5,0.365,431.175,,1.2786,,
2025-07-10,407.25,-1.2727,429.4333,,1.2876,,
2025-07-11,403.0,-1.0436,427.8333,,1.2644,,
