fecha,precio_cierre,variacion_pct_diaria,promedio_movil_30d,promedio_movil_90d,volatilidad_30d,maximo_mes,minimo_mes
2025-03-27,532.0,,,,,,
2025-03-28,528.25,-0.7049,,,,,
2025-03-31,537.0,1.6564,,,,,
2025-04-01,540.5,0.6518,,,,,
2025-04-02,539.25,-0.2313,,,,,
2025-04-03,536.0,-0.6027,,,,,
2025-04-04,529.0,-1.306,,,,,
2025-04-07,536.5,1.4178,,,,,
2025-04-08,540.0,0.6524,,,,,
2025-04-09,542.25,0.4167,,,,,
2025-04-10,538.0,-0.7838,,,,,
2025-04-11,555.75,3.2993,,,,,
2025-04-14,547.5,-1.4845,,,,,
2025-04-15,542.0,-1.0046,,,,,
2025-04-16,547.75,1.0609,,,,,
2025-04-17,548.75,0.1826,,,,,
2025-04-21,538.5,-1.8679,,,,,
2025-04-22,535.5,-0.5571,,,,,
2025-04-23,528.25,-1.3539,,,,,
2025-04-24,529.25,0.1893,,,,,
2025-04-25,530.0,0.1417,,,,,
2025-04-28,515.5,-2.7358,,,,,
2025-04-29,505.75,-1.8914,,,,,
2025-04-30,513.0,1.4335,,,,,
2025-05-01,515.25,0.4386,,,,,
2025-05-02,526.5,2.1834,,,,,
2025-05-05,514.25,-2.3267,,,,,
2025-05-06,519.0,0.9237,,,,,
2025-05-07,518.0,-0.1927,,,,,
2025-05-08,513.0,-0.9653,531.4083,,,,
2025-05-09,505.5,-1.462,530.525,,1.3974,,
2025-05-12,499.0,-1.2859,529.55,,1.4092,,
2025-05-13,501.5,0.501,528.3667,,1.3726,,
2025-05-14,508.75,1.4457,527.3083,,1.3974,,
2025-05-15,532.75,4.7174,527.0917,,1.66,,
2025-05-16,525.0,-1.4547,526.725,,1.6774,,
2025-05-19,529.0,0.7619,526.725,,1.6667,,
2025-05-20,546.0,3.2136,527.0417,,1.7491,,
2025-05-21,549.25,0.5952,527.35,,1.7485,,
2025-05-22,544.5,-0.8648,527.425,,1.7554,,
2025-05-23,542.5,-0.3673,527.575,,1.7504,,
2025-05-27,528.5,-2.5806,526.6667,,1.7016,,
2025-05-28,530.25,0.3311,526.0917,,1.6849,,
2025-05-29,534.0,0.7072,525.825,,1.6819,,
2025-05-30,534.0,0.0,525.3667,,1.6692,,
2025-06-02,539.0,0.9363,525.0417,,1.6788,,
2025-06-03,536.0,-0.5566,524.9583,,1.6465,,
2025-06-04,543.25,1.3526,525.2167,,1.6611,,
2025-06-05,545.5,0.4142,525.7917,,1.6404,,
2025-06-06,554.75,1.6957,526.6417,,1.6655,,
2025-06-09,542.0,-2.2983,527.0417,,1.7254,,
2025-06-10,534.5,-1.3838,527.675,,1.6657,,
2025-06-11,534.25,-0.0468,528.625,,1.6219,,
2025-06-12,526.5,-1.4506,529.075,,1.6314,,
2025-06-13,543.75,3.2764,530.025,,1.731,,
2025-06-16,536.5,-1.3333,530.3583,,1.7106,,
2025-06-17,549.0,2.3299,531.5167,,1.6962,,
2025-06-18,574.25,4.5993,533.3583,,1.8715,,
2025-06-20,567.75,-1.1319,535.0167,,1.8888,,
2025-06-23,552.75,-2.642,536.3417,,1.952,,
2025-06-24,535.75,-3.0755,537.35,,2.0222,,
2025-06-25,528.25,-1.3999,538.325,,2.0252,,
2025-06-26,521.0,-1.3725,538.975,,2.0447,,
